seqID	patternName	pattern	strand	start	end
CH57	N+	N+	+	25528	25528
CH57	N+	N+	+	25620	25673
CH57	N+	N+	+	26822	26833
CH57	N+	N+	+	29745	29867
CH58	N+	N+	+	1	54
CH58	N+	N+	+	1179	1249
CH58	N+	N+	+	1580	1633
CH58	N+	N+	+	1907	2190
CH58	N+	N+	+	2831	2835
CH58	N+	N+	+	4128	4307
CH58	N+	N+	+	5282	6279
CH58	N+	N+	+	9228	9296
CH58	N+	N+	+	11346	11355
CH58	N+	N+	+	13584	13598
CH58	N+	N+	+	16037	16037
CH58	N+	N+	+	16684	16743
CH58	N+	N+	+	20132	20254
CH58	N+	N+	+	20516	20538
CH58	N+	N+	+	21603	22515
CH58	N+	N+	+	22844	23225
CH58	N+	N+	+	23449	24694
CH58	N+	N+	+	25620	25673
CH58	N+	N+	+	26822	26833
CH58	N+	N+	+	29745	29867
CH59	N+	N+	+	1	54
CH59	N+	N+	+	386	423
CH59	N+	N+	+	1193	3166
CH59	N+	N+	+	4143	4322
CH59	N+	N+	+	5297	6295
CH59	N+	N+	+	7669	7717
CH59	N+	N+	+	8633	8656
CH59	N+	N+	+	8893	8949
CH59	N+	N+	+	9243	9312
CH59	N+	N+	+	10139	10149
CH59	N+	N+	+	10342	10381
CH59	N+	N+	+	11361	11371
CH59	N+	N+	+	13599	13613
CH59	N+	N+	+	14887	15181
CH59	N+	N+	+	15527	15607
CH59	N+	N+	+	16699	16758
CH59	N+	N+	+	18262	18263
CH59	N+	N+	+	19580	24709
CH59	N+	N+	+	25635	25689
CH59	N+	N+	+	26837	26848
CH59	N+	N+	+	28422	28678
CH59	N+	N+	+	29760	29882
CH60	N+	N+	+	1	54
CH60	N+	N+	+	386	664
CH60	N+	N+	+	1195	1264
CH60	N+	N+	+	2142	2205
CH60	N+	N+	+	4143	4322
CH60	N+	N+	+	5621	5894
CH60	N+	N+	+	6248	6294
CH60	N+	N+	+	9243	9311
CH60	N+	N+	+	11361	11370
CH60	N+	N+	+	13599	13613
CH60	N+	N+	+	16699	16758
CH60	N+	N+	+	20180	20188
CH60	N+	N+	+	20531	20553
CH60	N+	N+	+	21620	22530
CH60	N+	N+	+	23489	24200
CH60	N+	N+	+	24346	24709
CH60	N+	N+	+	25635	25688
CH60	N+	N+	+	26837	26848
CH60	N+	N+	+	29645	29882
CH61	N+	N+	+	1	54
CH61	N+	N+	+	1195	1264
CH61	N+	N+	+	4143	4322
CH61	N+	N+	+	6248	6293
CH61	N+	N+	+	9243	9309
CH61	N+	N+	+	11361	11369
CH61	N+	N+	+	13600	13613
CH61	N+	N+	+	16700	16758
CH61	N+	N+	+	20531	20551
CH61	N+	N+	+	21621	21670
CH61	N+	N+	+	23480	23502
CH61	N+	N+	+	25626	25676
CH61	N+	N+	+	26828	26839
CH61	N+	N+	+	29636	29873
CH62	N+	N+	+	1	54
CH62	N+	N+	+	386	463
CH62	N+	N+	+	662	664
CH62	N+	N+	+	1193	2205
CH62	N+	N+	+	2556	3166
CH62	N+	N+	+	4143	4322
CH62	N+	N+	+	5297	6294
CH62	N+	N+	+	7669	7732
CH62	N+	N+	+	7874	7976
CH62	N+	N+	+	9243	9317
CH62	N+	N+	+	9555	9804
CH62	N+	N+	+	10139	10147
CH62	N+	N+	+	10350	10381
CH62	N+	N+	+	11361	11367
CH62	N+	N+	+	13598	13613
CH62	N+	N+	+	14887	15203
CH62	N+	N+	+	15527	15610
CH62	N+	N+	+	15713	15889
CH62	N+	N+	+	16077	16248
CH62	N+	N+	+	16380	16432
CH62	N+	N+	+	16691	16758
CH62	N+	N+	+	17727	18606
CH62	N+	N+	+	19580	20558
CH62	N+	N+	+	21135	21178
CH62	N+	N+	+	21368	21374
CH62	N+	N+	+	21618	21670
CH62	N+	N+	+	22263	22269
CH62	N+	N+	+	22838	24700
CH62	N+	N+	+	25626	25679
CH62	N+	N+	+	26828	26839
CH62	N+	N+	+	28413	28669
CH62	N+	N+	+	29752	29873
CH63	N+	N+	+	1	54
CH63	N+	N+	+	1195	2205
CH63	N+	N+	+	2829	2875
CH63	N+	N+	+	4143	4322
CH63	N+	N+	+	5297	6294
CH63	N+	N+	+	7669	7700
CH63	N+	N+	+	9243	9316
CH63	N+	N+	+	9782	9803
CH63	N+	N+	+	11361	11369
CH63	N+	N+	+	13599	13613
CH63	N+	N+	+	15527	15607
CH63	N+	N+	+	16698	16758
CH63	N+	N+	+	18025	18263
CH63	N+	N+	+	19580	20553
CH63	N+	N+	+	21135	21177
CH63	N+	N+	+	21374	21374
CH63	N+	N+	+	21620	22530
CH63	N+	N+	+	22866	22923
CH63	N+	N+	+	23073	23215
CH63	N+	N+	+	23489	23524
CH63	N+	N+	+	23811	24404
CH63	N+	N+	+	24694	24709
CH63	N+	N+	+	25635	25688
CH63	N+	N+	+	26837	26848
CH63	N+	N+	+	28414	28678
CH63	N+	N+	+	29197	29197
CH63	N+	N+	+	29760	29882
